time	count
0.00	0.00
2597861.12	1.00
2597861.95	0.00
2599390.10	1.00
2599391.61	0.00
2600842.50	1.00
2600843.05	0.00
2602299.00	1.00
2602300.51	0.00
2603847.10	1.00
2603847.67	0.00
2605373.06	1.00
2605374.59	0.00
2607018.77	1.00
2607020.27	0.00
2607271.41	1.00
2607272.13	0.00
2607484.13	1.00
2607485.93	0.00
2607615.13	1.00
2607615.94	0.00
2608187.83	1.00
2608189.38	0.00
2609513.20	1.00
2609514.70	0.00
2610691.06	1.00
2610691.58	0.00
2610883.30	1.00
2610884.04	0.00
2613586.65	1.00
2613588.20	0.00
2615208.14	1.00
2615208.68	0.00
2617410.40	1.00
2617411.84	0.00
2619284.15	1.00
2619285.61	0.00
2620736.51	1.00
2620737.94	0.00
2622182.54	1.00
2622183.98	0.00
2623809.63	1.00
2623810.24	0.00
2625336.23	1.00
2625336.73	0.00
2626799.98	1.00
2626801.55	0.00
2628275.79	1.00
2628277.24	0.00
2629806.61	1.00
2629808.19	0.00
2631328.41	1.00
2631329.87	0.00
2632973.99	1.00
2632975.42	0.00
2633214.54	1.00
2633215.23	0.00
2633376.36	1.00
2633378.21	0.00
2633492.41	1.00
2633493.12	0.00
2634705.73	1.00
2634707.31	0.00
2635879.33	1.00
2635880.79	0.00
2638807.92	1.00
2638808.44	0.00
2640418.63	1.00
2640419.26	0.00
2642621.62	1.00
2642622.19	0.00
2644484.97	1.00
2644486.52	0.00
2645944.64	1.00
2645946.09	0.00
2647391.04	1.00
2647392.49	0.00
2649013.49	1.00
2649014.04	0.00
2650552.38	1.00
2650552.87	0.00
2652001.83	1.00
2652003.29	0.00
2653486.80	1.00
2653488.30	0.00
2655011.88	1.00
2655013.31	0.00
2656551.54	1.00
2656552.05	0.00
2658176.69	1.00
2658178.19	0.00
2658437.45	1.00
2658438.18	0.00
2658591.15	1.00
2658591.89	0.00
2659834.42	1.00
2659835.95	0.00
2661027.46	1.00
2661029.08	0.00
2661247.85	1.00
2661249.72	0.00
2663922.13	1.00
2663923.59	0.00
2665551.37	1.00
2665551.89	0.00
2667761.08	1.00
2667762.61	0.00
2669630.84	1.00
2669631.43	0.00
2671086.36	1.00
2671087.89	0.00
2672551.41	1.00
2672551.89	0.00
2674170.10	1.00
2674171.62	0.00
2675699.90	1.00
2675701.45	0.00
2677159.47	1.00
2677160.93	0.00
2678643.93	1.00
2678644.47	0.00
2680170.68	1.00
2680171.23	0.00
2681689.40	1.00
2681690.90	0.00
2683374.45	1.00
2683375.98	0.00
2683608.28	1.00
2683609.13	0.00
2683768.45	1.00
2683770.29	0.00
2683888.98	1.00
2683890.73	0.00
2685091.43	1.00
2685092.94	0.00
2686262.94	1.00
2686264.40	0.00
2689077.67	1.00
2689079.14	0.00
2690693.17	1.00
2690694.64	0.00
2692892.08	1.00
2692893.55	0.00
2694756.76	1.00
2694758.23	0.00
2696212.42	1.00
2696212.91	0.00
2697662.86	1.00
2697663.38	0.00
2699281.14	1.00
2699282.63	0.00
2700808.62	1.00
2700810.19	0.00
2702265.43	1.00
2702265.94	0.00
2703753.23	1.00
2703753.75	0.00
2705283.16	1.00
2705284.67	0.00
2706811.83	1.00
2706813.33	0.00
2708494.54	1.00
2708495.03	0.00
2708728.60	1.00
2708729.30	0.00
2708941.23	1.00
2708941.95	0.00
2709565.46	1.00
2709567.01	0.00
2710896.85	1.00
2710898.46	0.00
2712079.38	1.00
2712079.90	0.00
2712300.37	1.00
2712301.15	0.00
2714967.92	1.00
2714968.46	0.00
2716585.82	1.00
2716586.37	0.00
2718785.56	1.00
2718786.05	0.00
2720645.44	1.00
2720645.98	0.00
2722098.14	1.00
2722099.64	0.00
2723552.44	1.00
2723552.95	0.00
2725180.34	1.00
2725181.82	0.00
2726708.94	1.00
2726710.48	0.00
2728167.84	1.00
2728169.35	0.00
2729649.36	1.00
2729650.92	0.00
2731179.14	1.00
2731180.69	0.00
2732708.45	1.00
2732708.98	0.00
2734394.36	1.00
2734395.83	0.00
2734642.77	1.00
2734644.64	0.00
2734804.58	1.00
2734805.26	0.00
2736025.53	1.00
2736027.13	0.00
2737198.87	1.00
2737200.33	0.00
2740019.15	1.00
2740020.60	0.00
2741642.14	1.00
2741643.69	0.00
2743848.91	1.00
2743850.38	0.00
2745715.85	1.00
2745717.38	0.00
2747167.35	1.00
