time	count
0.00	0.00
2475037.97	1.00
2475054.34	0.00
2475112.26	1.00
2475112.73	0.00
2475225.08	1.00
2475695.31	0.00
2475811.56	1.00
2475814.76	0.00
2475913.50	1.00
2475914.02	0.00
2475923.40	1.00
2475923.88	0.00
2476226.60	1.00
2476228.54	0.00
2476506.06	1.00
2476624.16	0.00
2476634.73	1.00
2476635.84	0.00
2476648.16	1.00
2476648.59	0.00
2476669.66	1.00
2476670.11	0.00
2476717.06	1.00
2476717.34	0.00
2476772.86	1.00
2578471.80	0.00
2578475.44	1.00
2578486.41	0.00
2578489.12	1.00
2578489.43	0.00
2578490.31	1.00
2578490.62	0.00
2578491.76	1.00
2578492.12	0.00
2578492.96	1.00
2578493.20	0.00
2578553.43	1.00
2578555.75	0.00
2578582.41	1.00
2578585.53	0.00
2578820.28	1.00
2578820.74	0.00
2578830.09	1.00
2578830.43	0.00
2578922.09	1.00
2578922.53	0.00
2578925.38	1.00
2578925.67	0.00
2584478.18	1.00
2584481.56	0.00
2584494.22	1.00
2584503.03	0.00
2584504.65	1.00
2584505.25	0.00
2594914.12	1.00
2594914.70	0.00
2595002.39	1.00
2595003.96	0.00
2595023.07	1.00
2595023.71	0.00
2595142.27	1.00
2595142.44	0.00
2595152.74	1.00
2595153.40	0.00
2595174.90	1.00
2595175.66	0.00
2595180.39	1.00
2595232.20	0.00
2595234.93	1.00
2595235.58	0.00
2595237.19	1.00
2595242.39	0.00
2595245.63	1.00
2595245.80	0.00
2595268.40	1.00
2595268.81	0.00
2595320.45	1.00
2595320.84	0.00
2595334.35	1.00
2595334.77	0.00
2595344.46	1.00
2595344.63	0.00
2595351.79	1.00
2595352.12	0.00
2595359.69	1.00
2595482.37	0.00
2595484.75	1.00
2595502.84	0.00
2595504.62	1.00
2595508.64	0.00
2595509.82	1.00
2595510.06	0.00
2595542.28	1.00
2595542.67	0.00
2595554.21	1.00
2595554.91	0.00
2595567.14	1.00
2595567.51	0.00
2595590.76	1.00
2595590.92	0.00
2595598.89	1.00
2595599.21	0.00
2595608.34	1.00
2595614.43	0.00
2595683.97	1.00
2595684.36	0.00
2595702.64	1.00
2595703.06	0.00
2595785.41	1.00
2595785.55	0.00
2595799.71	1.00
2595800.16	0.00
2595815.58	1.00
2595816.15	0.00
2597935.57	1.00
2597948.35	0.00
2597955.74	1.00
2597978.18	0.00
2598025.00	1.00
2598026.04	0.00
2598054.44	1.00
2598060.12	0.00
2598062.65	1.00
2598062.92	0.00
2598073.85	1.00
2598074.21	0.00
2599466.38	1.00
2599468.31	0.00
2599475.09	1.00
2599496.39	0.00
2599518.79	1.00
2599533.15	0.00
2599535.90	1.00
2599536.31	0.00
2599544.84	1.00
2599545.13	0.00
2600921.79	1.00
2600928.44	0.00
2600935.17	1.00
2600956.14	0.00
2600977.38	1.00
2600986.44	0.00
2600990.37	1.00
2600990.75	0.00
2600992.49	1.00
2600992.73	0.00
2602346.56	1.00
2602348.47	0.00
