time	count
0.00	0.00
4528172.88	1.00
4528414.80	0.00
4528997.05	1.00
4529154.24	0.00
4529435.30	1.00
4534396.83	1.00
4546525.36	1.00
4548479.53	1.00
4565511.66	1.00
4586634.90	1.00
4586843.43	1.00
4630310.42	0.00
4659663.48	1.00
4659745.79	0.00
4662466.51	1.00
4667891.17	1.00
4681729.96	1.00
4703154.18	1.00
4703826.18	1.00
4734108.02	1.00
4734206.71	1.00
4751373.60	0.00
4771580.51	1.00
4771666.57	0.00
4773560.89	1.00
4773690.24	0.00
4774238.10	1.00
4779573.11	1.00
4792399.29	1.00
4800575.79	1.00
4822302.18	1.00
4822328.08	1.00
4822405.22	1.00
4839675.53	0.00
4870303.57	1.00
4870391.42	0.00
4872379.93	1.00
4872508.15	0.00
4873144.54	1.00
4883146.49	1.00
4895376.76	1.00
4900723.45	1.00
4924151.96	1.00
4926479.01	1.00
4926632.15	1.00
4940573.28	0.00
4961135.39	1.00
4961249.34	0.00
4967211.24	1.00
4967339.42	0.00
4967928.18	1.00
4973429.46	1.00
4986026.55	1.00
4997760.03	1.00
5024241.16	1.00
5028228.15	1.00
5028346.35	1.00
5043006.36	0.00
5064779.23	1.00
5064861.67	0.00
5066759.92	1.00
5066887.34	0.00
5067483.16	1.00
5073128.64	1.00
5085651.19	1.00
5107978.04	0.00
5108062.51	1.00
5135149.12	1.00
5135292.05	1.00
5149399.68	0.00
5170226.51	1.00
5170309.00	0.00
5172285.69	1.00
5172371.32	0.00
5173008.03	1.00
5179618.41	1.00
5192149.36	1.00
5202213.51	1.00
5229978.75	1.00
5234118.42	1.00
5234241.45	1.00
5254170.21	0.00
5274140.34	1.00
5274223.37	0.00
5276180.19	1.00
5276310.54	0.00
5276873.23	1.00
5288126.92	1.00
5299488.98	1.00
5304548.05	1.00
5324623.99	1.00
5327083.39	1.00
5327184.94	1.00
5342746.71	0.00
5373799.69	1.00
5373884.13	0.00
5379681.19	1.00
5379810.66	0.00
5380402.17	1.00
5386178.60	1.00
5397177.33	1.00
5408166.62	1.00
5427496.02	1.00
5430642.64	1.00
5430760.15	1.00
5444054.77	0.00
5465044.83	1.00
5465130.89	0.00
5467107.84	1.00
5467234.86	0.00
5467822.35	1.00
5474135.83	1.00
5483695.74	1.00
5494256.55	1.00
5519108.53	1.00
5527433.04	1.00
5527560.32	1.00
5548777.56	0.00
5569005.06	1.00
5569088.81	0.00
5571053.53	1.00
5571182.48	0.00
5571766.76	1.00
5578275.93	1.00
5589972.69	1.00
5597966.54	1.00
5618491.55	1.00
5621178.84	1.00
5621278.84	1.00
5633992.82	0.00
5666249.79	1.00
5666332.46	0.00
5668287.17	1.00
5668413.89	0.00
5668975.50	1.00
5675067.04	1.00
5687201.41	1.00
5710671.13	0.00
5710743.61	1.00
5742577.29	1.00
5742704.17	1.00
5762660.98	0.00
5782676.38	1.00
5782759.97	0.00
5788600.31	1.00
5788729.93	0.00
5789317.00	1.00
5795086.16	1.00
5804722.31	1.00
5828470.63	0.00
5828559.83	1.00
5855687.11	1.00
5855806.58	1.00
5868797.41	0.00
5889357.63	1.00
5889442.68	0.00
5891360.86	1.00
5891490.41	0.00
5892082.56	1.00
5898918.52	1.00
5910475.29	1.00
5933408.35	0.00
5933498.92	1.00
5964127.01	1.00
5964249.36	1.00
5977114.16	0.00
5999408.62	1.00
5999492.26	0.00
6001418.14	1.00
6001504.09	0.00
6002087.83	1.00
6007996.50	1.00
6020811.26	1.00
6031779.80	1.00
6059377.42	1.00
6063380.61	1.00
6063467.78	1.00
6081876.08	0.00
6102121.53	1.00
6102206.77	0.00
6104204.00	1.00
6104333.36	0.00
6104925.91	1.00
6110848.04	1.00
6124122.59	1.00
6132366.02	1.00
6151913.67	1.00
6155067.77	1.00
6155195.07	1.00
6167922.20	0.00
6200256.66	1.00
6200339.24	0.00
