full_text	text	tsv	levels
Utility Processor 0x1d00000000000000	Utility Proc 0	tsv/Proc_0x1d00000000000000.tsv	8
CPU Processor 0x1d00000000000001	CPU Proc 1	tsv/Proc_0x1d00000000000001.tsv	2
CPU Processor 0x1d00000000000002	CPU Proc 2	tsv/Proc_0x1d00000000000002.tsv	1
GPU Processor 0x1d00000000000003	GPU Proc 3	tsv/Proc_0x1d00000000000003.tsv	2
Fill None Channel	Dependent Partition Channel	tsv/None.tsv	3
Framebuffer Memory 0x1e00000000000001 to System Memory 0x1e00000000000000 Channel	 [n0][gpu3] fb to  [n0] sys	tsv/(Framebuffer_Memory_0x1e00000000000001,_System_Memory_0x1e00000000000000).tsv	3
System Memory 0x1e00000000000000 to Framebuffer Memory 0x1e00000000000001 Channel	 [n0] sys to  [n0][gpu3] fb	tsv/(System_Memory_0x1e00000000000000,_Framebuffer_Memory_0x1e00000000000001).tsv	10
Framebuffer Memory 0x1e00000000000001 to Framebuffer Memory 0x1e00000000000001 Channel	 [n0][gpu3] fb to  [n0][gpu3] fb	tsv/(Framebuffer_Memory_0x1e00000000000001,_Framebuffer_Memory_0x1e00000000000001).tsv	6
System Memory 0x1e00000000000000	 [n0] sys	tsv/Mem_0x1e00000000000000.tsv	3
Framebuffer Memory 0x1e00000000000001	 [n0][gpu3] fb	tsv/Mem_0x1e00000000000001.tsv	9
