level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
6			2574233.137	2618232.679	#00fff6	1.0	Copy size=751640	1424					33585
5			2574240.074	2649000.525	#00fff6	1.0	Copy size=83936	1425					33589
4			2574253.484	2626932.726	#00fff6	1.0	Copy size=11712	1425					33587
3			2574255.772	2629752.312	#00fff6	1.0	Copy size=69920	1424					8833
2			2574260.744	2789018.993	#00fff6	1.0	Copy size=34960	1424					33596
1			2606325.051	2786637.828	#00fff6	1.0	Copy size=31984	1425					8838
6			2618311.017	2622471.06	#00fff6	1.0	Copy size=10664	1425					33586
6			2629817.622	2632188.757	#00fff6	1.0	Copy size=992	1425					33588
6			2646158.033	2724377.939	#00fff6	1.0	Copy size=687656	1425					33590
5			2714748.614	2780323.804	#00fff6	1.0	Copy size=63968	1425					26404
6			2735016.003	2780173.51	#00fff6	1.0	Copy size=255872	1425					33595
4			2735886.864	2763914.031	#00fff6	1.0	Copy size=279680	1424					33593
4			2763967.134	2766365.814	#00fff6	1.0	Copy size=3968	1425					33594
6			2786674.597	2803931.307	#00fff6	1.0	Copy size=31232	1425					33598
5			2789090.862	2799415.21	#00fff6	1.0	Copy size=496	1425					33597
6			2843742.188	2862984.172	#00fff6	1.0	Copy size=275712	1459					33602
5			2860267.957	2872845.826	#00fff6	1.0	Copy size=31232	1459					33603
6			2875674.755	2923892.46	#00fff6	1.0	Copy size=259840	1458					26409
5			2882997.138	2926924.756	#00fff6	1.0	Copy size=64960	1458					33607
4			2904881.724	2939160.138	#00fff6	1.0	Copy size=7808	1459					33608
3			2904912.585	2943234.253	#00fff6	1.0	Copy size=68928	1459					26411
6			2924044.92	2943441.752	#00fff6	1.0	Copy size=3968	1459					26412
5			2927644.125	2939988.357	#00fff6	1.0	Copy size=992	1459					33609
6			2998741.239	3063638.133	#00fff6	1.0	Copy size=259840	1491					8845
5			2998744.353	3081614.32	#00fff6	1.0	Copy size=275712	1492					8847
4			3000971.318	3013121.455	#00fff6	1.0	Copy size=31232	1492					33612
4			3018647.465	3044309.359	#00fff6	1.0	Copy size=64960	1491					33616
3			3018669.869	3047174.964	#00fff6	1.0	Copy size=68928	1492					33617
2			3044303.714	3049426.658	#00fff6	1.0	Copy size=7808	1492					33618
4			3047235.209	3078489.211	#00fff6	1.0	Copy size=992	1492					8846
6			3063693.701	3077686.48	#00fff6	1.0	Copy size=3968	1492					26415
6			3137585.816	3194619.035	#00fff6	1.0	Copy size=259840	1524					8848
5			3137589.083	3224025.704	#00fff6	1.0	Copy size=275712	1525					33631
4			3140354.223	3198452.694	#00fff6	1.0	Copy size=31232	1525					33627
3			3194042.449	3200064.583	#00fff6	1.0	Copy size=68928	1525					33628
6			3194667.71	3195652.428	#00fff6	1.0	Copy size=3968	1525					8849
2			3194677.616	3200622.341	#00fff6	1.0	Copy size=7808	1525					8850
1			3194680.184	3204181.789	#00fff6	1.0	Copy size=64960	1524					33629
6			3204248.533	3216921.653	#00fff6	1.0	Copy size=992	1525					33630
6			3248871.53	3253082.399	#00fff6	1.0	Copy size=68928	1565					33633
6			3266020.674	3276384.057	#00fff6	1.0	Copy size=64960	1564					33635
6			3276448.422	3278141.318	#00fff6	1.0	Copy size=992	1565					33636
6			3284919.001	3293877.061	#00fff6	1.0	Copy size=31232	1565					33639
6			3305089.667	3344329.984	#00fff6	1.0	Copy size=259840	1564					33642
5			3305092.54	3364656.347	#00fff6	1.0	Copy size=275712	1565					8854
4			3325871.228	3342841.508	#00fff6	1.0	Copy size=7808	1565					33641
6			3344399.729	3359658.504	#00fff6	1.0	Copy size=3968	1565					26427
6			3395697.772	3414075.302	#00fff6	1.0	Copy size=275712	1598					33645
6			3422371.825	3464190.221	#00fff6	1.0	Copy size=259840	1597					33652
5			3424880.185	3457610.239	#00fff6	1.0	Copy size=7808	1598					8857
4			3457061.907	3469964.599	#00fff6	1.0	Copy size=64960	1597					33654
3			3457083.604	3492495.573	#00fff6	1.0	Copy size=68928	1598					26431
6			3464257.783	3465289.918	#00fff6	1.0	Copy size=3968	1598					33653
5			3464267.075	3498484.599	#00fff6	1.0	Copy size=31232	1598					33656
6			3470015.103	3488058.609	#00fff6	1.0	Copy size=992	1598					33655
6			3563616.591	3574176.573	#00fff6	1.0	Copy size=31232	1631					33660
5			3573653.571	3623546.741	#00fff6	1.0	Copy size=259840	1630					8862
4			3573656.448	3631386.908	#00fff6	1.0	Copy size=275712	1631					33662
6			3601203.143	3625734.142	#00fff6	1.0	Copy size=68928	1631					8864
5			3623595.047	3624706.194	#00fff6	1.0	Copy size=3968	1631					8863
3			3623602.898	3634696.562	#00fff6	1.0	Copy size=64960	1630					33663
5			3624750.295	3645879.476	#00fff6	1.0	Copy size=7808	1631					33664
