level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
10			2567397.182	2567557.952	#00fff6	1.0	Copy size=129960	1426					33576
9			2567486.808	2567704.258	#00fff6	1.0	Copy size=519840	1426					33577
10			2568376.481	2574114.785	#00fff6	1.0	Copy size=809088	1426					8832
9			2570006.795	2570473.611	#00fff6	1.0	Copy size=519904	1424					33579
8			2570015.613	2570428.096	#00fff6	1.0	Copy size=129976	1424					33578
7			2570019.609	2574000.617	#00fff6	1.0	Copy size=5798464	1426					8831
9			2570504.748	2571007.875	#00fff6	1.0	Copy size=129976	1425					33581
8			2570506.106	2570972.065	#00fff6	1.0	Copy size=519904	1425					33580
6			2570507.016	2735530.753	#00fff6	1.0	Copy size=16512	1426					33592
5			2570941.642	2571364.218	#00fff6	1.0	Copy size=2079360	1426					33582
9			2572703.926	2573280.182	#00fff6	1.0	Copy size=61696	1426					8830
9			2573639.633	2593562.925	#00fff6	1.0	Copy size=706368	1425					33583
8			2573783.015	2602993.766	#00fff6	1.0	Copy size=274672	1424					33584
7			2574087.902	2645577.613	#00fff6	1.0	Copy size=5905448	1424					8834
5			2574091.638	2603246.802	#00fff6	1.0	Copy size=2017920	1424					26402
4			2574096.72	2669708.197	#00fff6	1.0	Copy size=1883648	1425					8835
3			2574100.389	2711700.887	#00fff6	1.0	Copy size=5062304	1425					8836
2			2574103.867	2714569.515	#00fff6	1.0	Copy size=549344	1424					8837
1			2574106.523	2734942.962	#00fff6	1.0	Copy size=179456	1424					33591
10			2820125.697	2882880.743	#00fff6	1.0	Copy size=619264	1457					33604
9			2822803.338	2858847.495	#00fff6	1.0	Copy size=1897984	1458					33601
8			2823079.582	2875625.14	#00fff6	1.0	Copy size=181632	1457					8840
7			2824579.169	2825190.976	#00fff6	1.0	Copy size=2079616	1457					26407
7			2825235.242	2889400.595	#00fff6	1.0	Copy size=461664	1459					33605
6			2825239.015	2894856.778	#00fff6	1.0	Copy size=478720	1458					33606
5			2825510.038	2833911.227	#00fff6	1.0	Copy size=1846656	1459					33599
4			2825545.407	2836488.851	#00fff6	1.0	Copy size=16896	1458					33600
3			2829040.125	2843686.508	#00fff6	1.0	Copy size=215808	1457					8839
10			2960256.595	3018378.875	#00fff6	1.0	Copy size=619264	1490					33613
9			2960719.598	3029442.165	#00fff6	1.0	Copy size=478720	1491					33614
8			2963615.772	2964074.707	#00fff6	1.0	Copy size=2079616	1490					26413
8			2964108.177	3030296.422	#00fff6	1.0	Copy size=461664	1492					33615
7			2965562.845	2979059.398	#00fff6	1.0	Copy size=181632	1490					33610
6			2965577.3	2992983.233	#00fff6	1.0	Copy size=1897984	1491					33611
5			2977997.634	2998671.701	#00fff6	1.0	Copy size=215808	1490					8842
7			2979107.863	3000735.159	#00fff6	1.0	Copy size=16896	1491					8843
4			2979110.782	3015773.646	#00fff6	1.0	Copy size=1846656	1492					8844
