time	count
0.00	0.00
508157.24	0.50
508172.20	0.00
508237.31	0.50
508237.80	0.00
508373.38	0.50
508878.99	0.00
508993.90	0.50
509000.79	0.00
509082.78	0.50
509083.35	0.00
509093.73	0.50
509094.32	0.00
509413.38	0.50
509415.46	0.00
509727.73	0.50
509838.69	0.00
509864.23	0.50
509872.16	0.00
509890.91	0.50
509891.42	0.00
509898.96	0.50
509935.84	0.00
509942.19	0.50
509942.95	0.00
509999.88	0.50
615146.16	1.00
615151.75	0.50
615161.84	1.00
615163.48	0.50
615213.44	1.00
615215.93	0.50
615219.85	1.00
615221.03	0.50
615223.68	1.00
615231.04	0.50
615235.12	1.00
615235.78	0.50
615237.50	0.00
615279.70	0.50
615280.07	0.00
615290.99	0.50
615291.38	0.00
615552.62	0.50
615553.11	0.00
615566.35	0.50
615566.67	0.00
615661.50	0.50
615661.88	0.00
615669.92	0.50
615674.87	0.00
622119.18	0.50
622141.42	0.00
622181.85	0.50
622183.59	0.00
622187.38	0.50
622187.78	0.00
622193.31	0.50
622194.88	0.00
622211.27	0.50
622212.25	0.00
633217.16	0.50
633217.59	0.00
633355.67	0.50
633357.33	0.00
633383.31	0.50
633383.73	0.00
633396.44	0.50
633405.68	0.00
633481.94	0.50
633482.39	0.00
633542.06	0.50
633542.59	0.00
633566.54	0.50
633567.71	0.00
633577.81	0.50
633620.59	1.00
633622.03	0.50
633627.07	1.00
633627.73	0.50
633629.27	0.00
633693.63	0.50
633694.44	0.00
633765.34	0.50
633765.69	0.00
633780.18	0.50
633784.52	0.00
633823.75	0.50
633824.05	0.00
633878.82	0.50
633879.14	0.00
633889.18	0.50
633889.80	0.00
633897.79	0.50
633926.19	1.00
633936.11	0.50
633967.21	1.00
633968.05	0.50
633979.91	0.00
634017.89	0.50
634018.65	0.00
634058.00	0.50
634058.48	0.00
634073.48	0.50
634074.02	0.00
634075.56	0.50
634075.88	0.00
634088.89	0.50
634093.60	0.00
634096.41	0.50
634096.64	0.00
634181.66	0.50
634182.32	0.00
634202.59	0.50
634202.97	0.00
634215.69	0.50
634216.03	0.00
634265.84	0.50
634271.35	0.00
636547.20	0.50
636568.33	0.00
636621.81	0.50
636663.42	0.00
636708.78	0.50
636717.41	0.00
636731.12	0.50
636731.63	0.00
636745.03	0.50
636745.65	0.00
636759.17	0.50
636759.53	0.00
636822.20	0.50
636822.52	0.00
638039.90	0.50
638041.15	0.00
638088.71	0.50
638106.40	0.00
638108.82	0.50
638110.24	0.00
638127.29	0.50
638128.31	0.00
638140.34	0.50
638140.64	0.00
638154.19	0.50
638154.49	0.00
638175.28	0.50
638175.67	0.00
639590.53	0.50
639600.23	0.00
639619.18	0.50
639638.68	0.00
639657.33	0.50
639658.23	0.00
639668.73	0.50
639669.14	0.00
639683.25	0.50
639683.81	0.00
639726.88	0.50
639727.25	0.00
641194.90	0.50
641221.67	0.00
641245.47	0.50
641255.52	0.00
641257.36	0.50
641257.95	0.00
641280.58	0.50
641281.10	0.00
641293.56	0.50
641293.90	0.00
641306.95	0.50
641307.28	0.00
641329.38	0.50
641351.88	0.00
641442.56	0.50
641451.76	0.00
641454.57	0.50
641456.22	0.00
641468.27	0.50
641468.88	0.00
641478.70	0.50
641479.01	0.00
641490.26	0.50
641490.72	0.00
641614.77	0.50
641623.41	0.00
641636.73	0.50
641637.29	0.00
641646.49	0.50
641646.89	0.00
641658.07	0.50
641663.71	0.00
641676.52	0.50
641676.90	0.00
642820.22	0.50
642820.83	0.00
642871.30	0.50
642877.86	0.00
642890.72	0.50
642891.27	0.00
642912.78	0.50
642913.26	0.00
642925.87	0.50
642930.93	0.00
642939.10	0.50
642939.38	0.00
642960.48	0.50
642960.87	0.00
643996.80	0.50
643997.42	0.00
644048.22	0.50
644054.53	0.00
644067.75	0.50
644068.25	0.00
644090.04	0.50
644094.25	0.00
644103.05	0.50
644103.47	0.00
644116.78	0.50
644117.08	0.00
644138.39	0.50
644138.65	0.00
644248.82	0.50
644260.27	0.00
644273.86	0.50
644274.45	0.00
644283.97	0.50
644288.62	0.00
644294.03	0.50
644294.31	0.00
644314.09	0.50
644314.75	0.00
647072.86	0.50
647074.63	0.00
647127.42	0.50
647154.40	0.00
647172.83	0.50
647174.08	0.00
647182.83	0.50
647183.16	0.00
647196.12	0.50
647204.56	0.00
647219.86	0.50
647220.22	0.00
648687.38	0.50
648694.88	0.00
648742.76	0.50
648770.36	0.00
648789.10	0.50
648790.31	0.00
648799.22	0.50
648799.76	0.00
648813.20	0.50
648813.57	0.00
648840.62	0.50
648866.27	0.00
650891.06	0.50
650892.55	0.00
650943.64	0.50
650970.45	0.00
650991.42	0.50
650992.66	0.00
651003.69	0.50
651004.06	0.00
651017.99	0.50
651018.29	0.00
651040.00	0.50
651066.72	0.00
652760.51	0.50
652761.96	0.00
652811.24	0.50
652831.82	0.00
652850.15	0.50
652851.29	0.00
652861.37	0.50
652861.78	0.00
652875.63	0.50
652876.23	0.00
652919.31	0.50
652919.64	0.00
654208.92	0.50
654210.50	0.00
654265.49	0.50
654293.35	0.00
654312.19	0.50
654313.40	0.00
654323.57	0.50
654331.80	0.00
654334.33	0.50
654334.57	0.00
654356.56	0.50
654356.91	0.00
655662.65	0.50
655664.18	0.00
655717.53	0.50
655738.36	0.00
655757.88	0.50
655759.30	0.00
655767.78	0.50
655768.15	0.00
655781.60	0.50
655781.94	0.00
655803.34	0.50
655829.23	0.00
657285.23	0.50
657291.48	0.00
657336.72	0.50
657357.66	0.00
657375.52	0.50
657376.87	0.00
657385.33	0.50
657385.68	0.00
657399.56	0.50
657400.14	0.00
657422.08	0.50
657422.43	0.00
658818.65	0.50
658820.26	0.00
658870.13	0.50
658890.85	0.00
658908.54	0.50
658919.49	0.00
658920.53	0.50
658921.68	0.00
658944.15	0.50
658944.83	0.00
658972.69	0.50
658973.01	0.00
660284.03	0.50
660285.51	0.00
660341.24	0.50
660371.97	0.00
660391.34	0.50
660392.90	0.00
660401.84	0.50
660402.46	0.00
660417.01	0.50
660425.59	0.00
660439.35	0.50
660439.68	0.00
661767.38	0.50
661769.41	0.00
661797.09	0.50
661816.90	0.00
661835.98	0.50
661837.01	0.00
661847.10	0.50
661847.48	0.00
661860.90	0.50
661861.22	0.00
661882.61	0.50
661908.09	0.00
663273.52	0.50
663274.99	0.00
663321.50	0.50
663341.89	0.00
663359.78	0.50
663361.08	0.00
663370.57	0.50
663370.89	0.00
663384.43	0.50
663384.95	0.00
663405.88	0.50
663406.22	0.00
664814.54	0.50
664821.16	0.00
664844.73	0.50
664865.45	0.00
664884.03	0.50
664893.30	0.00
664896.46	0.50
664897.64	0.00
664908.33	0.50
664908.99	0.00
664935.66	0.50
664936.01	0.00
666463.28	0.50
666464.76	0.00
666535.73	0.50
666557.36	0.00
666576.51	0.50
666577.79	0.00
666586.45	0.50
666586.95	0.00
666602.19	0.50
666611.75	0.00
666623.65	0.50
666623.97	0.00
666728.02	0.50
666738.74	0.00
666753.90	0.50
666754.61	0.00
666764.10	0.50
666764.42	0.00
666775.10	0.50
666775.44	0.00
666792.42	0.50
666792.83	0.00
666882.05	0.50
666890.11	0.00
666902.85	0.50
666908.33	0.00
666910.76	0.50
666911.01	0.00
666923.00	0.50
666923.51	0.00
666940.39	0.50
666940.72	0.00
668105.76	0.50
668106.46	0.00
668158.06	0.50
668166.30	0.00
668175.28	0.50
668175.78	0.00
668196.61	0.50
668201.22	0.00
668209.27	0.50
668209.56	0.00
668222.63	0.50
668222.95	0.00
668244.44	0.50
668244.86	0.00
669285.86	0.50
669286.42	0.00
669335.98	0.50
669343.70	0.00
669352.74	0.50
669357.07	0.00
669374.59	0.50
669374.89	0.00
669388.44	0.50
669388.83	0.00
669401.64	0.50
669402.00	0.00
669423.10	0.50
669423.44	0.00
669533.95	0.50
669545.06	0.00
669557.89	0.50
669558.56	0.00
669568.58	0.50
669573.52	0.00
669581.33	0.50
669581.62	0.00
669604.07	0.50
669604.51	0.00
672202.23	0.50
672203.13	0.00
672253.41	0.50
672266.18	0.00
672267.79	0.50
672268.28	0.00
672291.50	0.50
672292.05	0.00
672304.27	0.50
672304.66	0.00
672317.93	0.50
672318.26	0.00
672339.78	0.50
672343.73	0.00
673855.31	0.50
673856.82	0.00
673904.46	0.50
673926.53	0.00
673944.80	0.50
673946.30	0.00
673954.89	0.50
673955.26	0.00
673969.58	0.50
673969.93	0.00
673990.75	0.50
674018.42	0.00
676076.49	0.50
676078.57	0.00
676131.54	0.50
676154.71	0.00
676172.75	0.50
676174.03	0.00
676183.38	0.50
676183.67	0.00
676197.14	0.50
676197.67	0.00
676218.74	0.50
676219.06	0.00
677941.63	0.50
677943.08	0.00
677996.24	0.50
678017.25	0.00
678035.64	0.50
678044.90	0.00
678048.53	0.50
678058.09	1.00
678058.30	0.50
678058.73	0.00
678104.70	0.50
678105.04	0.00
679398.96	0.50
679400.45	0.00
679452.94	0.50
679474.01	0.00
679493.35	0.50
679494.57	0.00
679509.85	0.50
679510.48	0.00
679523.85	0.50
679524.20	0.00
679545.55	0.50
679571.10	0.00
680855.80	0.50
680857.64	0.00
680908.60	0.50
680929.34	0.00
680946.89	0.50
680948.30	0.00
680957.65	0.50
680958.04	0.00
680970.98	0.50
680971.31	0.00
680992.74	0.50
680993.15	0.00
682473.14	0.50
682474.59	0.00
682542.29	0.50
682565.25	0.00
682584.01	0.50
682593.65	0.00
682596.64	0.50
682597.74	0.00
682608.26	0.50
682616.06	0.00
682634.45	0.50
682634.85	0.00
684010.42	0.50
684011.90	0.00
684061.72	0.50
684082.92	0.00
684101.83	0.50
684103.28	0.00
684112.97	0.50
684113.33	0.00
684126.19	0.50
684126.52	0.00
684153.99	0.50
