time	count
0.00	0.00
2567397.18	1.00
2567704.26	0.00
2568376.48	1.00
2574233.14	1.00
2735530.75	1.00
2753167.48	1.00
2753329.06	1.00
2801520.32	1.00
2801671.25	1.00
2803931.31	0.00
2816265.35	1.00
2816328.00	0.00
2820125.70	1.00
2843742.19	1.00
2872845.83	1.00
2875674.75	1.00
2894856.78	1.00
2903148.14	1.00
2903255.74	1.00
2942362.37	1.00
2942528.91	1.00
2943441.75	0.00
2957303.98	1.00
2957369.04	0.00
2960256.60	1.00
2998741.24	1.00
3030296.42	1.00
3038591.48	1.00
3038677.63	1.00
3077585.52	1.00
3077703.65	1.00
3081614.32	0.00
3095703.54	1.00
3095767.67	0.00
3098026.32	1.00
3137585.82	1.00
3165300.79	1.00
3185261.88	1.00
3185366.66	1.00
3219262.67	1.00
3219396.65	1.00
3224025.70	0.00
3237074.51	1.00
3237152.91	0.00
3241608.02	1.00
3241718.88	0.00
3241901.69	1.00
3248871.53	1.00
3253082.40	1.00
3266020.67	1.00
3276384.06	1.00
3276448.42	1.00
3278141.32	1.00
3284919.00	1.00
3293877.06	1.00
3305089.67	1.00
3311654.81	1.00
3325617.27	1.00
3325737.25	1.00
3359546.88	1.00
3359676.07	1.00
3364656.35	0.00
3377704.95	1.00
3377768.98	0.00
3380101.48	1.00
3395697.77	1.00
3414075.30	1.00
3422371.83	1.00
3447494.08	1.00
3447775.88	1.00
3456485.02	1.00
3492406.20	1.00
3492532.75	1.00
3498484.60	0.00
3518827.59	1.00
3518891.76	0.00
3521136.23	1.00
3563616.59	1.00
3586631.39	1.00
3600933.48	1.00
3601075.94	1.00
3646097.84	0.00
3649043.76	1.00
3649105.44	0.00
3662936.62	1.00
3662999.57	0.00
3665202.43	1.00
3701091.23	1.00
3733422.99	1.00
3754473.64	1.00
3754582.41	1.00
3787474.40	1.00
3787581.47	1.00
3792047.14	0.00
3806336.44	1.00
3806401.44	0.00
3810759.87	1.00
3810887.91	0.00
3811046.41	1.00
3815050.08	1.00
3819693.39	1.00
3821602.34	1.00
3831966.08	1.00
3832027.87	1.00
3833692.87	1.00
3843752.23	1.00
3846255.26	1.00
3861020.90	1.00
3875391.84	1.00
3875716.42	1.00
3880062.25	1.00
3923545.40	1.00
3923695.46	1.00
3931367.04	0.00
3945598.18	1.00
3945662.30	0.00
3947946.52	1.00
3986693.07	1.00
4014835.00	1.00
4034999.32	1.00
4035110.71	1.00
4060026.86	0.00
4060074.32	1.00
4072620.62	0.00
4075598.07	1.00
4075658.17	0.00
4089515.33	1.00
4089596.02	0.00
4091788.24	1.00
4137232.01	1.00
4155689.33	1.00
4169807.79	1.00
4169887.72	1.00
4210753.74	1.00
4210838.79	1.00
4215795.05	0.00
4230023.72	1.00
4230086.91	0.00
4232287.02	1.00
4271402.83	1.00
4302344.24	1.00
4306802.74	1.00
4306903.08	1.00
4351382.72	1.00
4351502.47	1.00
4355883.26	0.00
4370114.77	1.00
4370177.50	0.00
4374378.39	1.00
4374486.90	0.00
4374805.86	1.00
4380188.07	1.00
4384850.53	1.00
4399585.08	1.00
4414437.12	1.00
4424937.60	1.00
4448609.27	1.00
4448965.46	1.00
4451015.48	1.00
4487349.59	1.00
4487440.04	1.00
4496098.53	0.00
4510483.36	1.00
4510550.44	0.00
4512842.33	1.00
4546804.60	1.00
4557785.48	1.00
4567643.55	1.00
4576507.87	1.00
4596725.07	1.00
4596841.12	1.00
4624603.32	0.00
4624651.35	1.00
4636059.83	0.00
4639082.02	1.00
4639141.32	0.00
4652311.18	1.00
4652375.68	0.00
4654619.30	1.00
4685002.87	1.00
4697053.11	1.00
4703622.74	1.00
4719772.47	1.00
4729218.91	1.00
4729297.89	1.00
4775169.11	0.00
4778003.60	1.00
4778062.34	0.00
4792123.39	1.00
4792187.04	0.00
4794492.67	1.00
4833021.63	1.00
4858757.03	1.00
4877582.78	1.00
4877668.58	1.00
4916289.59	1.00
4916408.61	1.00
4919795.34	0.00
4934078.53	1.00
4934142.23	0.00
