time	count
0.00	0.00
508097.19	1.00
508127.90	0.00
508154.54	1.00
508229.63	0.00
508238.41	1.00
508371.85	0.00
508384.41	1.00
508385.45	0.00
508886.52	1.00
508981.88	0.00
508993.81	1.00
509075.59	0.00
509083.37	1.00
509088.14	0.00
509094.17	1.00
509737.25	0.00
509745.72	1.00
509748.19	0.00
509839.24	1.00
509855.85	0.00
509863.96	1.00
509883.96	0.00
509891.48	1.00
509892.27	0.00
509897.39	1.00
509943.78	0.00
509961.87	1.00
509998.50	0.00
510005.71	1.00
510007.63	0.00
615103.27	1.00
615115.20	0.00
615124.90	1.00
615128.03	0.00
615130.79	1.00
615203.00	0.00
615209.21	1.00
615214.76	0.00
615217.39	1.00
615217.97	0.00
615219.93	1.00
615220.38	0.00
615222.12	1.00
615272.21	0.00
615280.70	1.00
615285.08	0.00
615291.54	1.00
615544.17	0.00
615553.92	1.00
615557.62	0.00
615590.90	1.00
615654.03	0.00
615662.84	1.00
615664.01	0.00
622156.78	1.00
622168.16	0.00
622182.75	1.00
622184.20	0.00
622189.79	1.00
622190.41	0.00
622195.08	1.00
622205.23	0.00
633250.05	1.00
633275.09	0.00
633283.29	1.00
633342.84	0.00
633356.17	1.00
633376.81	0.00
633384.05	1.00
633390.80	0.00
633396.84	1.00
633444.84	0.00
633468.00	1.00
633473.98	0.00
633510.16	1.00
633527.97	0.00
633530.02	1.00
633534.95	0.00
633545.27	1.00
633560.19	0.00
633569.09	1.00
633573.21	0.00
633578.37	1.00
633579.90	0.00
633605.00	1.00
633610.33	0.00
633615.98	1.00
633618.06	0.00
633620.99	1.00
633673.09	0.00
633679.00	1.00
633679.22	0.00
633680.24	1.00
633680.90	0.00
633681.76	1.00
633686.09	0.00
633693.50	1.00
633699.69	0.00
633706.59	1.00
633758.01	0.00
633765.47	1.00
633774.52	0.00
633780.44	1.00
633801.56	0.00
633824.33	1.00
633858.33	0.00
633870.03	1.00
633870.22	0.00
633871.72	1.00
633872.42	0.00
633880.74	1.00
633883.10	0.00
633890.90	1.00
633894.62	0.00
633899.45	1.00
633900.78	0.00
633912.96	1.00
633916.72	0.00
633921.65	1.00
633923.28	0.00
633925.94	1.00
634010.25	0.00
634017.70	1.00
634048.43	0.00
634059.31	1.00
634067.32	0.00
634073.91	1.00
634082.37	0.00
634089.21	1.00
634092.96	0.00
634097.04	1.00
634172.65	0.00
634182.08	1.00
634196.51	0.00
634202.96	1.00
634209.51	0.00
634215.90	1.00
634259.20	0.00
636597.40	1.00
636696.05	0.00
636708.50	1.00
636724.03	0.00
636732.50	1.00
636737.30	0.00
636744.25	1.00
636751.34	0.00
636760.12	1.00
636815.35	0.00
638075.74	1.00
638094.98	0.00
638104.91	1.00
638119.17	0.00
638129.11	1.00
638133.70	0.00
638140.76	1.00
638147.94	0.00
638154.38	1.00
638169.21	0.00
639604.73	1.00
639623.27	0.00
639633.03	1.00
639634.44	0.00
639636.58	1.00
639649.99	0.00
639657.91	1.00
639662.47	0.00
639669.29	1.00
639676.79	0.00
639683.72	1.00
639699.03	0.00
641232.61	1.00
641250.81	0.00
641260.26	1.00
641274.03	0.00
641282.86	1.00
641287.56	0.00
641294.12	1.00
641301.00	0.00
641307.54	1.00
641322.91	0.00
641431.05	1.00
641432.70	0.00
641434.36	1.00
641443.37	0.00
641451.79	1.00
641460.41	0.00
641469.35	1.00
641472.88	0.00
641478.93	1.00
641484.38	0.00
641490.35	1.00
641507.27	0.00
641531.49	1.00
641532.35	0.00
641591.56	1.00
641592.22	0.00
641600.08	1.00
641615.46	0.00
641620.57	1.00
641621.60	0.00
641623.02	1.00
641630.59	0.00
641637.49	1.00
641640.72	0.00
641646.59	1.00
641652.33	0.00
641658.30	1.00
641669.59	0.00
642858.72	1.00
642881.19	0.00
642892.43	1.00
642906.15	0.00
642915.03	1.00
642919.73	0.00
642926.22	1.00
642932.91	0.00
642939.27	1.00
642954.34	0.00
644035.57	1.00
644058.24	0.00
644069.59	1.00
644082.52	0.00
644092.15	1.00
644097.00	0.00
644103.46	1.00
644110.10	0.00
644117.34	1.00
644131.98	0.00
644236.02	1.00
644237.77	0.00
644241.19	1.00
644250.34	0.00
644255.57	1.00
644256.45	0.00
644259.80	1.00
644267.54	0.00
644274.55	1.00
644278.06	0.00
644284.20	1.00
644289.46	0.00
644296.40	1.00
644307.27	0.00
647105.83	1.00
647137.53	0.00
647146.85	1.00
647148.71	0.00
647150.86	1.00
647163.92	0.00
647171.99	1.00
647176.34	0.00
647182.83	1.00
647189.78	0.00
647196.20	1.00
647212.81	0.00
648721.26	1.00
648753.48	0.00
648762.79	1.00
648765.15	0.00
648767.42	1.00
648780.27	0.00
648788.23	1.00
648792.83	0.00
648799.47	1.00
648806.76	0.00
648813.49	1.00
648834.27	0.00
650925.07	1.00
650945.42	0.00
650955.94	1.00
650957.40	0.00
650968.56	1.00
650982.28	0.00
650990.73	1.00
650997.04	0.00
651003.65	1.00
651011.27	0.00
651018.01	1.00
651033.11	0.00
652792.95	1.00
652815.18	0.00
652824.54	1.00
652826.45	0.00
652828.62	1.00
652841.34	0.00
652849.37	1.00
652854.13	0.00
652861.90	1.00
652869.50	0.00
652875.85	1.00
652890.77	0.00
654242.48	1.00
654276.39	0.00
654285.82	1.00
654287.99	0.00
654290.27	1.00
654303.62	0.00
654311.62	1.00
654317.01	0.00
654323.81	1.00
654330.35	0.00
654335.04	1.00
654350.17	0.00
655695.88	1.00
655722.29	0.00
655732.01	1.00
655733.42	0.00
655735.63	1.00
655748.63	0.00
655757.35	1.00
655761.53	0.00
655767.76	1.00
655775.21	0.00
655781.54	1.00
655796.67	0.00
657318.02	1.00
657340.43	0.00
657349.81	1.00
657351.80	0.00
657354.01	1.00
657366.72	0.00
657374.85	1.00
657379.03	0.00
657385.55	1.00
657392.66	0.00
657400.07	1.00
657415.46	0.00
