time	count
0.00	0.00
636500.88	1.00
636501.69	0.00
638023.30	1.00
638024.15	0.00
639549.30	1.00
639551.01	0.00
641184.60	1.00
641186.14	0.00
641421.12	1.00
641421.87	0.00
641582.59	1.00
641583.47	0.00
642810.92	1.00
642812.48	0.00
643988.67	1.00
643989.18	0.00
644226.47	1.00
644227.23	0.00
647041.02	1.00
647042.54	0.00
648656.68	1.00
648658.17	0.00
650861.29	1.00
650861.78	0.00
652728.45	1.00
652728.93	0.00
654178.80	1.00
654180.32	0.00
655632.66	1.00
655633.14	0.00
657254.03	1.00
657255.57	0.00
658787.53	1.00
658789.06	0.00
660253.43	1.00
660254.97	0.00
661733.06	1.00
661734.61	0.00
663257.57	1.00
663259.09	0.00
664782.92	1.00
664784.46	0.00
666432.05	1.00
666433.55	0.00
666699.60	1.00
666701.32	0.00
666858.72	1.00
666859.49	0.00
668096.06	1.00
668097.59	0.00
669276.15	1.00
669277.71	0.00
669511.22	1.00
669511.97	0.00
672192.37	1.00
672193.94	0.00
673825.09	1.00
673825.63	0.00
676045.42	1.00
676045.98	0.00
677910.37	1.00
677911.93	0.00
679368.06	1.00
679369.60	0.00
680825.62	1.00
680826.12	0.00
682442.38	1.00
682443.93	0.00
683980.18	1.00
683980.72	0.00
685451.01	1.00
685452.52	0.00
686933.69	1.00
686934.25	0.00
688461.11	1.00
688461.66	0.00
689984.43	1.00
689985.91	0.00
691674.73	1.00
691675.29	0.00
691919.99	1.00
691921.82	0.00
692080.15	1.00
692081.97	0.00
693319.10	1.00
693320.63	0.00
694507.17	1.00
694508.73	0.00
694742.08	1.00
694743.91	0.00
697539.60	1.00
697541.15	0.00
699147.46	1.00
699149.01	0.00
701350.65	1.00
701352.17	0.00
703217.94	1.00
703219.43	0.00
704671.41	1.00
704671.93	0.00
706125.02	1.00
706126.61	0.00
707746.84	1.00
707748.39	0.00
709270.37	1.00
709271.89	0.00
710732.22	1.00
710733.78	0.00
712210.09	1.00
712210.57	0.00
713752.15	1.00
713753.69	0.00
715279.94	1.00
715281.43	0.00
716926.13	1.00
716927.65	0.00
717186.36	1.00
717188.16	0.00
717398.88	1.00
717399.72	0.00
718024.04	1.00
718024.58	0.00
718250.75	1.00
718251.59	0.00
719449.19	1.00
719449.73	0.00
720653.91	1.00
720655.51	0.00
720895.54	1.00
720896.22	0.00
723690.46	1.00
723692.05	0.00
725301.61	1.00
725303.15	0.00
727525.50	1.00
727526.06	0.00
729381.94	1.00
729382.46	0.00
730848.16	1.00
730848.65	0.00
732301.00	1.00
732302.52	0.00
733923.40	1.00
733924.93	0.00
735450.99	1.00
735451.53	0.00
736910.99	1.00
736911.49	0.00
738403.38	1.00
738403.89	0.00
739925.83	1.00
739927.37	0.00
741459.84	1.00
741461.39	0.00
743105.78	1.00
743106.29	0.00
743356.91	1.00
743358.72	0.00
743519.69	1.00
743520.44	0.00
744787.14	1.00
744788.69	0.00
745967.58	1.00
745969.16	0.00
746202.77	1.00
746204.57	0.00
749004.55	1.00
749005.08	0.00
750608.47	1.00
750610.02	0.00
752817.23	1.00
752818.77	0.00
754692.02	1.00
754693.56	0.00
756143.95	1.00
756144.53	0.00
757594.94	1.00
757596.49	0.00
759223.66	1.00
759224.25	0.00
760748.13	1.00
760748.63	0.00
762209.20	1.00
762210.73	0.00
763710.34	1.00
763710.87	0.00
765217.38	1.00
765217.95	0.00
766737.61	1.00
766739.15	0.00
768387.13	1.00
768387.71	0.00
768649.92	1.00
768651.67	0.00
768810.41	1.00
768811.18	0.00
770038.55	1.00
770040.10	0.00
771224.22	1.00
771225.76	0.00
771464.01	1.00
771464.81	0.00
774258.86	1.00
774260.39	0.00
775879.50	1.00
775880.99	0.00
778085.25	1.00
778086.78	0.00
779955.63	1.00
779957.11	0.00
781419.37	1.00
781420.85	0.00
782865.69	1.00
782867.26	0.00
784482.51	1.00
784484.03	0.00
786004.74	1.00
786005.25	0.00
787464.07	1.00
787465.61	0.00
788947.56	1.00
788949.06	0.00
790471.23	1.00
790471.81	0.00
791995.09	1.00
791996.64	0.00
793645.79	1.00
793647.35	0.00
793895.41	1.00
793896.12	0.00
794056.07	1.00
794056.85	0.00
795306.82	1.00
795307.37	0.00
796484.15	1.00
796485.75	0.00
796704.09	1.00
796704.85	0.00
799526.72	1.00
799527.24	0.00
801134.06	1.00
801135.61	0.00
803345.39	1.00
803346.95	0.00
805207.09	1.00
805208.62	0.00
806669.01	1.00
806670.68	0.00
808128.82	1.00
808129.34	0.00
809747.98	1.00
809748.49	0.00
811277.14	1.00
811277.62	0.00
812747.88	1.00
812749.44	0.00
814234.15	1.00
814235.68	0.00
815759.69	1.00
815761.27	0.00
817284.79	1.00
817286.28	0.00
818974.21	1.00
818974.72	0.00
819238.96	1.00
819239.72	0.00
819451.15	1.00
819451.94	0.00
820081.70	1.00
820083.28	0.00
820316.09	1.00
820318.03	0.00
821508.00	1.00
821509.56	0.00
822686.64	1.00
822688.21	0.00
822920.62	1.00
822921.40	0.00
825717.74	1.00
825718.34	0.00
827334.49	1.00
827335.95	0.00
829545.08	1.00
829545.66	0.00
831403.83	1.00
831405.35	0.00
832855.51	1.00
832856.99	0.00
834307.79	1.00
834309.27	0.00
835928.44	1.00
835929.94	0.00
837460.59	1.00
837462.10	0.00
838925.38	1.00
838926.90	0.00
840404.81	1.00
840406.33	0.00
841928.14	1.00
841929.64	0.00
843452.84	1.00
843454.30	0.00
845098.27	1.00
845099.82	0.00
845334.95	1.00
845336.73	0.00
845495.52	1.00
845499.75	0.00
846741.70	1.00
846743.28	0.00
847915.47	1.00
847916.98	0.00
850889.22	1.00
850889.72	0.00
852503.62	1.00
852505.19	0.00
854713.62	1.00
854715.17	0.00
856573.35	1.00
856574.88	0.00
858027.15	1.00
858028.67	0.00
859478.00	1.00
859479.49	0.00
861097.66	1.00
861099.15	0.00
862626.04	1.00
862627.57	0.00
864086.99	1.00
864088.54	0.00
865576.42	1.00
865576.95	0.00
867104.50	1.00
867105.97	0.00
868628.82	1.00
868629.36	0.00
870275.97	1.00
870277.49	0.00
870511.79	1.00
870513.71	0.00
870673.47	1.00
870674.16	0.00
871914.22	1.00
871915.78	0.00
873129.46	1.00
873130.97	0.00
873362.80	1.00
873364.69	0.00
876164.30	1.00
876165.81	0.00
877779.27	1.00
877779.81	0.00
879995.45	1.00
879995.94	0.00
881861.77	1.00
881862.33	0.00
883311.52	1.00
883312.01	0.00
884776.66	1.00
884777.17	0.00
886387.71	1.00
886389.21	0.00
887911.74	1.00
887912.31	0.00
889384.24	1.00
889385.77	0.00
890862.94	1.00
890864.45	0.00
892394.56	1.00
892395.08	0.00
893919.80	1.00
893921.34	0.00
895606.56	1.00
895607.10	0.00
895851.50	1.00
895853.43	0.00
896010.33	1.00
896012.15	0.00
897265.07	1.00
897265.59	0.00
898448.38	1.00
898448.92	0.00
898696.58	1.00
898697.39	0.00
901499.90	1.00
901500.39	0.00
903111.01	1.00
903112.61	0.00
905317.77	1.00
905318.30	0.00
907181.44	1.00
907181.98	0.00
908636.41	1.00
908637.95	0.00
910087.22	1.00
910087.74	0.00
911708.20	1.00
911709.74	0.00
913241.19	1.00
913242.76	0.00
914706.14	1.00
914706.62	0.00
916188.23	1.00
916189.77	0.00
917719.45	1.00
917720.98	0.00
919248.62	1.00
919249.15	0.00
920936.38	1.00
920936.87	0.00
921178.06	1.00
921178.81	0.00
921391.97	1.00
921392.64	0.00
922016.35	1.00
922017.93	0.00
923361.94	1.00
923362.45	0.00
924546.11	1.00
924546.62	0.00
924778.84	1.00
924780.66	0.00
927574.74	1.00
927576.29	0.00
929196.18	1.00
929197.74	0.00
931406.89	1.00
931407.40	0.00
933272.81	1.00
933273.33	0.00
934735.31	1.00
934736.90	0.00
936190.65	1.00
936192.15	0.00
937808.95	1.00
937809.52	0.00
939336.12	1.00
939337.66	0.00
940800.59	1.00
940802.15	0.00
942284.39	1.00
942285.91	0.00
943815.71	1.00
943817.27	0.00
945344.07	1.00
945345.55	0.00
947029.86	1.00
947031.37	0.00
947286.28	1.00
947287.01	0.00
947448.24	1.00
947449.14	0.00
948701.46	1.00
948703.05	0.00
