time	count
0.00	0.00
17623.04	1.00
17636.88	0.00
17647.47	1.00
17648.38	0.00
17761.32	1.00
18306.49	0.00
18419.02	1.00
18423.55	0.00
18520.00	1.00
18521.52	0.00
18525.80	1.00
18526.49	0.00
18856.83	1.00
18860.38	0.00
19134.02	1.00
19283.68	0.00
19288.36	1.00
19289.93	0.00
19294.92	1.00
19295.48	0.00
19318.94	1.00
19319.75	0.00
19362.83	1.00
19363.29	0.00
19415.97	1.00
184190.38	0.00
184196.58	1.00
184198.62	0.00
184201.06	1.00
184201.39	0.00
184202.32	1.00
184206.70	0.00
184459.23	1.00
184460.12	0.00
184476.38	1.00
184476.92	0.00
184488.83	1.00
184489.25	0.00
184570.29	1.00
184570.89	0.00
184580.06	1.00
184580.46	0.00
184589.90	1.00
184591.95	0.00
184630.91	1.00
184635.35	0.00
184642.95	1.00
184643.52	0.00
184656.96	1.00
184657.29	0.00
196755.76	1.00
196773.75	0.00
196823.15	1.00
196824.77	0.00
207589.20	1.00
207589.63	0.00
207621.80	1.00
207709.11	0.00
207712.69	1.00
207712.96	0.00
207715.01	1.00
207716.05	0.00
207717.21	1.00
207721.90	0.00
207723.17	1.00
207723.51	0.00
207724.64	1.00
207724.94	0.00
207725.88	1.00
207726.11	0.00
207727.05	1.00
207727.27	0.00
207728.44	1.00
207731.60	0.00
207748.12	1.00
207748.51	0.00
207751.73	1.00
207752.01	0.00
207762.00	1.00
207762.44	0.00
207774.24	1.00
207774.37	0.00
207794.35	1.00
207794.70	0.00
207797.74	1.00
207798.43	0.00
207805.32	1.00
207812.37	0.00
207815.75	1.00
207816.08	0.00
207844.50	1.00
207961.42	0.00
207999.27	1.00
208000.58	0.00
208009.81	1.00
208010.57	0.00
208023.99	1.00
208024.33	0.00
208048.75	1.00
208059.61	0.00
208068.62	1.00
208071.63	0.00
208086.20	1.00
208106.26	0.00
208153.86	1.00
208154.49	0.00
208167.41	1.00
208168.07	0.00
208176.42	1.00
208176.75	0.00
208186.38	1.00
208206.75	0.00
208221.08	1.00
208226.82	0.00
208233.75	1.00
208234.35	0.00
208242.73	1.00
208257.33	0.00
208270.11	1.00
208270.89	0.00
208278.14	1.00
208278.48	0.00
208287.83	1.00
208288.17	0.00
208302.70	1.00
208315.48	0.00
208322.53	1.00
208325.17	0.00
208344.83	1.00
208355.44	0.00
208368.95	1.00
208369.64	0.00
208376.48	1.00
208376.80	0.00
208385.20	1.00
208385.59	0.00
208395.72	1.00
208400.91	0.00
208406.92	1.00
208407.37	0.00
208415.55	1.00
208425.69	0.00
208438.37	1.00
208444.36	0.00
208447.00	1.00
208447.37	0.00
208448.74	1.00
208449.05	0.00
208463.98	1.00
208468.90	0.00
208475.07	1.00
208475.53	0.00
208483.64	1.00
208499.23	0.00
208529.08	1.00
208529.79	0.00
208536.72	1.00
208542.35	0.00
208545.67	1.00
208546.01	0.00
208557.07	1.00
208562.28	0.00
208568.90	1.00
208569.49	0.00
208577.93	1.00
208589.09	0.00
208602.05	1.00
208602.71	0.00
208609.53	1.00
208609.85	0.00
208618.63	1.00
208618.99	0.00
208628.71	1.00
208639.20	0.00
208663.56	1.00
208664.07	0.00
208672.77	1.00
208683.24	0.00
208696.08	1.00
208696.83	0.00
208703.69	1.00
208704.01	0.00
208712.66	1.00
208713.00	0.00
208723.42	1.00
208728.62	0.00
208735.36	1.00
208735.77	0.00
208744.34	1.00
208754.58	0.00
208767.97	1.00
208774.62	0.00
208777.29	1.00
208777.58	0.00
208779.05	1.00
208779.34	0.00
208790.25	1.00
208795.17	0.00
208817.55	1.00
208818.10	0.00
208825.60	1.00
208835.98	0.00
208849.03	1.00
208849.68	0.00
208856.56	1.00
208856.88	0.00
208865.83	1.00
208871.16	0.00
208879.72	1.00
208884.72	0.00
208891.37	1.00
208891.82	0.00
208900.11	1.00
208911.45	0.00
208924.11	1.00
208924.83	0.00
208931.50	1.00
208931.81	0.00
208941.27	1.00
208941.63	0.00
208953.08	1.00
208958.02	0.00
208964.10	1.00
208964.53	0.00
208972.80	1.00
208982.55	0.00
208995.65	1.00
209001.64	0.00
209003.99	1.00
209004.32	0.00
209005.89	1.00
209006.15	0.00
209020.84	1.00
209025.67	0.00
209032.37	1.00
209032.90	0.00
209041.24	1.00
209056.54	0.00
209065.77	1.00
209066.56	0.00
209073.78	1.00
209074.09	0.00
209082.43	1.00
209082.76	0.00
209092.68	1.00
209113.46	0.00
209120.20	1.00
209120.65	0.00
209129.63	1.00
209139.68	0.00
209152.29	1.00
209152.95	0.00
