level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	4	17366.656	17439.53	17476.871	#ff8c00	1.0	Deferred Enqueue Task	1					2908
2	3	17475.464	17512.702	17622.727	#ca00ff	1.0	Scheduler	0					2910
2	4	17620.086	17628.069	17751.855	#00fcff	1.0	Task Physical Dependence Analysis	1					19169
2	4	17755.75	17755.75	17760.426	#FFC0CB	1.0	ProfTask <1>						22317
2	3	18297.644	18303.471	18405.673	#ff2300	1.0	Logical Dependence Analysis	3					2911
2	2	18403.486	18414.748	18480.057	#333399	1.0	Deferred Ready Trigger	3					2912
2	4	18260.499	18488.798	18499.916	#ff4a00	1.0	Prepipeline Stage	3					2913
2	3	18520.736	18520.736	18854.794	#ff0800	1.0	Operation Physical Dependence Analysis	3					19170
2	3	18854.794	18854.794	18871.771	#ff0800	0.15	Operation Physical Dependence Analysis (waiting)	3					19170
2	3	18871.771	18871.771	18892.092	#ff0800	0.45	Operation Physical Dependence Analysis (ready)	3					19170
2	3	18892.092	18892.092	19137.781	#ff0800	1.0	Operation Physical Dependence Analysis	3					19170
1	4	18564.053	18564.053	18981.88	#5500ff	1.0	Mapper Call map_inline for 3	3					22315
2	4	19144.2	19144.2	19146.386	#FFC0CB	1.0	ProfTask <3>						22319
2	4	19265.334	19274.724	19278.775	#ff4a00	1.0	Prepipeline Stage	4					2914
2	4	19280.838	19282.94	19291.978	#ff2300	1.0	Logical Dependence Analysis	4					2915
2	3	19291.191	19294.648	19309.534	#333399	1.0	Deferred Ready Trigger	4					2916
2	4	19314.876	19314.876	19359.731	#ff0800	1.0	Operation Physical Dependence Analysis	4					19171
2	4	19359.731	19359.731	19374.324	#ff0800	0.15	Operation Physical Dependence Analysis (waiting)	4					19171
2	4	19374.324	19374.324	19377.754	#ff0800	0.45	Operation Physical Dependence Analysis (ready)	4					19171
2	4	19377.754	19377.754	19412.574	#ff0800	1.0	Operation Physical Dependence Analysis	4					19171
2	4	19417.857	19417.857	19419.287	#FFC0CB	1.0	ProfTask <4>						22321
2	4	184044.296	184087.894	184144.553	#ff2300	1.0	Logical Dependence Analysis	5					2917
2	3	184142.074	184153.795	184159.496	#333399	1.0	Deferred Ready Trigger	5					2918
2	4	184152.337	184162.347	184180.917	#ff2300	1.0	Logical Dependence Analysis	6					2919
2	2	184159.069	184184.27	184449.735	#ff0800	1.0	Operation Physical Dependence Analysis	5					2920
2	4	184183.609	184457.336	184469.891	#ff2300	1.0	Logical Dependence Analysis	7					2921
2	4	184443.96	184475.475	184479.972	#333399	1.0	Deferred Ready Trigger	6					2922
2	3	184479.559	184487.534	184562.381	#ff0800	1.0	Operation Physical Dependence Analysis	6					2923
2	4	184557.184	184570.167	184573.69	#333399	1.0	Deferred Ready Trigger	7					2924
2	3	184573.289	184578.676	184623.784	#ff0800	1.0	Operation Physical Dependence Analysis	7					2925
2	4	184590.256	184630.463	184636.605	#5200ff	1.0	Tighten Index Space	5					2926
2	4	184589.824	184641.739	184650.998	#990000	1.0	Deferred Execute	5					2927
2	4	184034.81	184655.98	184657.017	#ff4a00	1.0	Prepipeline Stage	5					19172
2	4	184664.156	184664.156	184665.576	#FFC0CB	1.0	ProfTask <5>						22323
2	4	196747.797	196789.182	196795.459	#5200ff	1.0	Tighten Index Space	6					2928
2	4	196747.437	196823.267	196827.298	#990000	1.0	Deferred Execute	6					19173
2	4	196832.572	196832.572	196834.147	#FFC0CB	1.0	ProfTask <6>						22325
2	4	207562.881	207602.695	207617.492	#ff7a00	1.0	Disjointness Test	1					2929
2	4	207563.16	207625.993	207629.079	#5200ff	1.0	Tighten Index Space	7					2930
2	4	207562.666	207631.895	207637.369	#990000	1.0	Deferred Execute	7					2931
2	4	207638.038	207639.61	207645.114	#ff2300	1.0	Logical Dependence Analysis	8					2932
2	4	207644.216	207647.711	207649.726	#333399	1.0	Deferred Ready Trigger	8					2933
2	3	207649.454	207668.257	207709.722	#ff0800	1.0	Operation Physical Dependence Analysis	8					2934
2	3	207703.257	207713.272	207717.581	#5200ff	1.0	Tighten Index Space	8					2935
2	4	207683.199	207719.777	207740.408	#ff2300	1.0	Logical Dependence Analysis	9					2936
2	4	207722.184	207746.76	207748.582	#333399	1.0	Deferred Ready Trigger	9					2937
