time	count
0.00	0.00
17439.53	1.00
17476.87	0.00
17512.70	1.00
17622.73	0.00
17628.07	1.00
17751.85	0.00
17755.75	1.00
17760.43	0.00
18303.47	1.00
18405.67	0.00
18414.75	1.00
18480.06	0.00
18488.80	1.00
18499.92	0.00
18520.74	1.00
19137.78	0.00
19144.20	1.00
19146.39	0.00
19274.72	1.00
19278.78	0.00
19282.94	1.00
19291.98	0.00
19294.65	1.00
19309.53	0.00
19314.88	1.00
19359.73	0.00
19377.75	1.00
19412.57	0.00
19417.86	1.00
19419.29	0.00
184087.89	1.00
184144.55	0.00
184153.80	1.00
184159.50	0.00
184162.35	1.00
184180.92	0.00
184184.27	1.00
184449.73	0.00
184457.34	1.00
184469.89	0.00
184475.48	1.00
184479.97	0.00
184487.53	1.00
184562.38	0.00
184570.17	1.00
184573.69	0.00
184578.68	1.00
184623.78	0.00
184630.46	1.00
184636.61	0.00
184641.74	1.00
184651.00	0.00
184655.98	1.00
184657.02	0.00
184664.16	1.00
184665.58	0.00
196789.18	1.00
196795.46	0.00
196823.27	1.00
196827.30	0.00
196832.57	1.00
196834.15	0.00
207602.70	1.00
207617.49	0.00
207625.99	1.00
207629.08	0.00
207631.89	1.00
207637.37	0.00
207639.61	1.00
207645.11	0.00
207647.71	1.00
207649.73	0.00
207668.26	1.00
207709.72	0.00
207713.27	1.00
207717.58	0.00
207719.78	1.00
207740.41	0.00
207746.76	1.00
207748.58	0.00
207751.88	1.00
207756.16	0.00
207760.57	1.00
207788.31	0.00
207793.27	1.00
207794.46	0.00
207798.66	1.00
207799.75	0.00
207803.46	1.00
207804.20	0.00
207807.13	1.00
207843.51	0.00
207847.60	1.00
207864.78	0.00
207957.13	1.00
207991.12	0.00
207997.17	1.00
208004.03	0.00
208008.37	1.00
208017.79	0.00
208022.65	1.00
208046.01	0.00
208053.11	1.00
208053.94	0.00
208069.50	1.00
208146.29	0.00
208152.33	1.00
208160.92	0.00
208166.57	1.00
208170.29	0.00
208174.88	1.00
208180.45	0.00
208185.05	1.00
208218.40	0.00
208221.61	1.00
208222.27	0.00
208234.98	1.00
208243.70	0.00
208247.60	1.00
208248.38	0.00
208256.86	1.00
208263.79	0.00
208269.12	1.00
208272.19	0.00
208276.64	1.00
208281.70	0.00
208286.42	1.00
208300.76	0.00
208303.70	1.00
208304.38	0.00
208323.52	1.00
208345.65	0.00
208348.55	1.00
208349.30	0.00
208356.32	1.00
208362.67	0.00
208367.55	1.00
208370.13	0.00
208374.66	1.00
208379.38	0.00
208383.87	1.00
208393.53	0.00
208396.13	1.00
208396.78	0.00
208408.29	1.00
208415.65	0.00
208418.50	1.00
208419.03	0.00
208426.32	1.00
208432.42	0.00
208437.27	1.00
208439.80	0.00
208442.05	1.00
208446.29	0.00
208448.94	1.00
208461.84	0.00
208464.99	1.00
208465.73	0.00
208476.37	1.00
208483.59	0.00
208486.27	1.00
208487.38	0.00
208498.10	1.00
208522.35	0.00
208527.93	1.00
208530.33	0.00
208535.01	1.00
208539.35	0.00
208541.72	1.00
208554.78	0.00
208557.61	1.00
208558.33	0.00
208570.07	1.00
208578.05	0.00
208580.96	1.00
208581.67	0.00
208589.65	1.00
208595.91	0.00
208601.14	1.00
208603.49	0.00
208608.00	1.00
208612.53	0.00
208617.14	1.00
208626.46	0.00
208629.63	1.00
208630.42	0.00
208664.61	1.00
208671.81	0.00
208674.57	1.00
208675.11	0.00
208684.03	1.00
208689.95	0.00
208695.04	1.00
208697.39	0.00
208702.06	1.00
208706.42	0.00
208711.16	1.00
208720.25	0.00
208723.40	1.00
208726.94	0.00
208736.53	1.00
208744.25	0.00
208747.12	1.00
208747.91	0.00
208755.45	1.00
208761.67	0.00
208766.92	1.00
208769.42	0.00
208771.64	1.00
208775.61	0.00
208778.19	1.00
208787.91	0.00
208791.29	1.00
208791.94	0.00
208818.29	1.00
208825.38	0.00
208828.25	1.00
208828.88	0.00
208836.84	1.00
208842.90	0.00
208847.99	1.00
208850.22	0.00
208854.84	1.00
208859.99	0.00
208864.23	1.00
208877.71	0.00
208880.92	1.00
208881.59	0.00
208892.49	1.00
208900.54	0.00
208903.68	1.00
208904.26	0.00
208912.15	1.00
208918.03	0.00
208923.13	1.00
208925.46	0.00
208929.96	1.00
208935.24	0.00
208939.86	1.00
208949.17	0.00
208953.06	1.00
208953.73	0.00
208965.15	1.00
208972.32	0.00
208975.13	1.00
208975.95	0.00
208983.49	1.00
208989.57	0.00
208994.64	1.00
208996.94	0.00
208999.07	1.00
209002.93	0.00
209006.09	1.00
209018.51	0.00
209022.24	1.00
209022.97	0.00
209033.46	1.00
209040.71	0.00
209043.67	1.00
209044.32	0.00
209052.49	1.00
209059.38	0.00
209064.69	1.00
209067.05	0.00
209072.21	1.00
209076.39	0.00
209080.97	1.00
209090.55	0.00
209109.07	1.00
209110.00	0.00
209121.70	1.00
209129.68	0.00
209132.49	1.00
209133.05	0.00
209140.35	1.00
209146.42	0.00
209151.23	1.00
209153.40	0.00
209157.74	1.00
209161.71	0.00
209164.04	1.00
209173.96	0.00
209176.93	1.00
209177.47	0.00
209189.09	1.00
209196.16	0.00
209198.70	1.00
209199.36	0.00
209225.25	1.00
209231.44	0.00
209236.62	1.00
209238.99	0.00
209243.57	1.00
209247.96	0.00
209252.46	1.00
209265.56	0.00
209268.62	1.00
209269.28	0.00
209280.51	1.00
209287.83	0.00
209292.55	1.00
209293.01	0.00
209300.54	1.00
209306.68	0.00
209311.82	1.00
209314.40	0.00
209318.73	1.00
209322.96	0.00
209327.62	1.00
209336.79	0.00
209340.77	1.00
209344.42	0.00
209352.89	1.00
209360.29	0.00
209363.33	1.00
209363.86	0.00
209371.24	1.00
209377.49	0.00
209382.61	1.00
209384.99	0.00
209387.08	1.00
209390.94	0.00
209394.66	1.00
209403.83	0.00
209406.80	1.00
209407.36	0.00
209418.94	1.00
209425.94	0.00
209428.78	1.00
209429.57	0.00
209437.68	1.00
209443.59	0.00
209448.89	1.00
209451.12	0.00
209455.58	1.00
209459.56	0.00
209461.75	1.00
209471.88	0.00
209474.93	1.00
209475.60	0.00
209486.96	1.00
209498.88	0.00
209501.91	1.00
209502.58	0.00
209529.39	1.00
209536.29	0.00
209541.67	1.00
209559.89	0.00
209564.48	1.00
209569.80	0.00
209574.68	1.00
209587.05	0.00
209590.30	1.00
209591.10	0.00
209601.54	1.00
209606.61	0.00
209609.40	1.00
209610.70	0.00
209620.92	1.00
209626.55	0.00
209631.76	1.00
209634.14	0.00
209638.74	1.00
209646.25	0.00
209650.77	1.00
209659.99	0.00
209662.81	1.00
209663.33	0.00
209674.83	1.00
209682.02	0.00
209684.95	1.00
209685.64	0.00
209692.84	1.00
209698.67	0.00
209703.79	1.00
209706.11	0.00
209708.23	1.00
209712.32	0.00
209720.39	1.00
209736.54	0.00
209739.96	1.00
209740.63	0.00
209750.52	1.00
209757.89	0.00
209760.94	1.00
209761.51	0.00
209769.30	1.00
209775.24	0.00
209780.30	1.00
209783.00	0.00
209787.41	1.00
209791.80	0.00
209796.60	1.00
209803.29	0.00
209807.07	1.00
209810.77	0.00
209819.40	1.00
209842.41	0.00
209845.24	1.00
209845.85	0.00
209854.18	1.00
209860.60	0.00
209865.70	1.00
209868.19	0.00
209872.79	1.00
209876.95	0.00
209881.45	1.00
209890.48	0.00
209893.28	1.00
209893.99	0.00
209904.53	1.00
209911.47	0.00
209914.17	1.00
209914.77	0.00
209922.11	1.00
209927.84	0.00
209932.93	1.00
209935.44	0.00
209937.66	1.00
209941.48	0.00
209945.87	1.00
209959.08	0.00
209962.16	1.00
209962.81	0.00
209973.22	1.00
209980.45	0.00
209983.14	1.00
209983.73	0.00
209991.30	1.00
209997.31	0.00
210002.40	1.00
210004.75	0.00
210009.34	1.00
210013.19	0.00
210015.31	1.00
210028.58	0.00
210031.45	1.00
210032.27	0.00
210042.73	1.00
210049.93	0.00
210052.82	1.00
210053.44	0.00
210061.24	1.00
210067.11	0.00
210072.37	1.00
210074.98	0.00
210079.48	1.00
210084.53	0.00
210089.09	1.00
210098.15	0.00
210101.16	1.00
210106.40	0.00
210107.54	1.00
210108.49	0.00
210109.97	1.00
210117.03	0.00
210119.73	1.00
210120.42	0.00
210127.97	1.00
210134.08	0.00
210139.32	1.00
210141.85	0.00
210143.79	1.00
210147.66	0.00
210150.10	1.00
210159.93	0.00
210162.95	1.00
210163.59	0.00
210174.49	1.00
210181.59	0.00
210184.27	1.00
210184.88	0.00
210192.57	1.00
210198.35	0.00
210203.39	1.00
210206.16	0.00
210210.60	1.00
210215.54	0.00
210220.09	1.00
210232.83	0.00
210235.88	1.00
210236.71	0.00
210247.35	1.00
210254.71	0.00
210258.96	1.00
210259.61	0.00
210266.73	1.00
210272.68	0.00
210277.68	1.00
210280.29	0.00
210282.31	1.00
210286.26	0.00
210289.63	1.00
210298.79	0.00
210302.09	1.00
210302.63	0.00
210313.21	1.00
210320.21	0.00
210322.99	1.00
210323.63	0.00
210331.10	1.00
210336.99	0.00
210342.04	1.00
210344.67	0.00
210349.09	1.00
210353.49	0.00
210357.96	1.00
210370.66	0.00
210373.55	1.00
210374.21	0.00
210385.73	1.00
210393.97	0.00
210397.42	1.00
210398.28	0.00
210404.62	1.00
210410.10	0.00
210415.31	1.00
210418.00	0.00
210422.43	1.00
210432.29	0.00
210437.52	1.00
210447.05	0.00
210449.64	1.00
210450.29	0.00
210460.96	1.00
210465.92	0.00
210468.56	1.00
210470.10	0.00
210479.52	1.00
210485.41	0.00
210490.37	1.00
210497.92	0.00
210520.00	1.00
210524.64	0.00
210529.08	1.00
210538.45	0.00
210541.15	1.00
210544.70	0.00
210553.45	1.00
210561.04	0.00
210564.05	1.00
210564.86	0.00
210571.86	1.00
210577.97	0.00
210583.10	1.00
210585.50	0.00
210587.85	1.00
210592.15	0.00
210596.16	1.00
210607.56	0.00
210610.72	1.00
210611.33	0.00
210622.15	1.00
210629.24	0.00
210632.08	1.00
210632.55	0.00
210640.28	1.00
210646.24	0.00
210651.40	1.00
210653.85	0.00
210658.36	1.00
210663.62	0.00
210668.35	1.00
210677.34	0.00
210680.00	1.00
210683.44	0.00
210696.95	1.00
210704.26	0.00
210707.35	1.00
210707.90	0.00
210716.05	1.00
210722.29	0.00
210727.57	1.00
210730.10	0.00
210734.42	1.00
210740.14	0.00
210744.74	1.00
210753.89	0.00
210756.76	1.00
210757.39	0.00
210768.51	1.00
210775.52	0.00
210778.19	1.00
210778.86	0.00
210786.42	1.00
210792.18	0.00
210797.36	1.00
210815.68	0.00
210817.89	1.00
210821.82	0.00
210827.83	1.00
210840.31	0.00
210843.39	1.00
210844.12	0.00
210854.42	1.00
210861.41	0.00
210864.11	1.00
210864.73	0.00
210872.42	1.00
210878.34	0.00
210883.52	1.00
210885.96	0.00
210890.27	1.00
210894.10	0.00
210896.42	1.00
210909.22	0.00
210912.78	1.00
210913.76	0.00
210923.82	1.00
210930.73	0.00
210934.45	1.00
210935.01	0.00
210943.66	1.00
210949.51	0.00
210954.52	1.00
210956.82	0.00
210961.43	1.00
210966.25	0.00
210970.85	1.00
210983.72	0.00
210986.58	1.00
210987.14	0.00
210998.34	1.00
211006.40	0.00
211009.39	1.00
211010.21	0.00
211017.52	1.00
211023.16	0.00
211028.35	1.00
211030.66	0.00
211035.12	1.00
211044.91	0.00
211050.07	1.00
211065.06	0.00
211068.16	1.00
211068.70	0.00
211079.02	1.00
211085.79	0.00
211088.47	1.00
211088.99	0.00
211096.59	1.00
211102.48	0.00
211107.47	1.00
211109.83	0.00
211111.77	1.00
211115.83	0.00
211118.59	1.00
211127.30	0.00
211133.07	1.00
211133.73	0.00
211141.89	1.00
211148.77	0.00
211151.73	1.00
211152.35	0.00
211159.97	1.00
211166.11	0.00
211171.28	1.00
211173.76	0.00
211178.10	1.00
211182.32	0.00
211184.56	1.00
211193.67	0.00
211196.32	1.00
211196.78	0.00
211207.93	1.00
211214.54	0.00
211217.25	1.00
211217.93	0.00
211226.00	1.00
211231.80	0.00
211236.75	1.00
211239.17	0.00
211241.76	1.00
211245.91	0.00
211250.45	1.00
211262.57	0.00
211265.50	1.00
211266.14	0.00
211276.90	1.00
211283.65	0.00
211288.14	1.00
211288.58	0.00
211296.14	1.00
211302.10	0.00
211307.11	1.00
211309.70	0.00
211314.04	1.00
211318.26	0.00
211322.69	1.00
211331.76	0.00
211334.60	1.00
211335.32	0.00
211346.74	1.00
211351.45	0.00
211354.47	1.00
211356.02	0.00
211366.61	1.00
211372.33	0.00
211377.51	1.00
211379.96	0.00
211384.54	1.00
211390.30	0.00
211394.80	1.00
211403.52	0.00
211409.30	1.00
211409.91	0.00
211418.17	1.00
211425.42	0.00
211428.29	1.00
211429.08	0.00
211436.13	1.00
211442.20	0.00
211447.20	1.00
211449.61	0.00
211451.95	1.00
211456.08	0.00
211459.09	1.00
211468.46	0.00
211471.49	1.00
211472.08	0.00
211483.32	1.00
211490.06	0.00
211497.07	1.00
211497.66	0.00
211522.89	1.00
211529.62	0.00
211535.13	1.00
211537.66	0.00
211542.10	1.00
211546.72	0.00
211551.54	1.00
211564.34	0.00
211567.12	1.00
211567.77	0.00
211583.71	1.00
211591.24	0.00
211593.98	1.00
211594.57	0.00
211601.91	1.00
211607.96	0.00
211613.17	1.00
211615.70	0.00
211620.27	1.00
211624.45	0.00
211629.19	1.00
211638.68	0.00
211641.64	1.00
211642.21	0.00
211653.71	1.00
211660.86	0.00
211663.58	1.00
211664.37	0.00
211671.71	1.00
211677.65	0.00
211682.88	1.00
211685.34	0.00
211687.61	1.00
211691.56	0.00
211696.15	1.00
211709.16	0.00
211712.26	1.00
211713.03	0.00
211723.67	1.00
211731.00	0.00
211733.81	1.00
211734.46	0.00
211742.31	1.00
211748.30	0.00
211753.51	1.00
211756.05	0.00
211760.36	1.00
211765.58	0.00
211770.23	1.00
211777.14	0.00
211781.28	1.00
211782.14	0.00
211793.96	1.00
211802.06	0.00
211804.85	1.00
211805.55	0.00
211812.95	1.00
211834.59	0.00
211839.69	1.00
211841.96	0.00
211846.50	1.00
211856.38	0.00
211861.52	1.00
211870.76	0.00
211876.53	1.00
211877.13	0.00
211884.83	1.00
211889.96	0.00
211892.69	1.00
211893.53	0.00
211901.61	1.00
211907.45	0.00
211912.38	1.00
211914.82	0.00
211919.21	1.00
211924.04	0.00
211928.50	1.00
211937.73	0.00
211940.58	1.00
211941.08	0.00
211952.35	1.00
211960.38	0.00
211963.57	1.00
211964.09	0.00
211971.20	1.00
211976.85	0.00
211982.18	1.00
211984.55	0.00
211988.79	1.00
211992.52	0.00
211994.94	1.00
212008.04	0.00
212011.13	1.00
212011.97	0.00
212022.32	1.00
212029.66	0.00
